place,title,time,pay,date
서울 강남구,박앤박 혼밥대왕 논현점,시간협의,"시급11,000",4시간전
서울 강남구,박앤박 혼밥대왕 논현점,시간협의,"시급11,000",4시간전
서울 강남구,박앤박 혼밥대왕 논현점,시간협의,"시급11,000",4시간전
경기 안성시,박앤박 혼밥대왕 경기안성점,11:00~17:00,"시급9,000",09/11
경기 안성시,박앤박 혼밥대왕 경기안성점,시간협의,"월급3,500,000",09/11
경기 김포시,박앤박 혼밥대왕 김포마산점,10:00~10:00,"월급3,000,000",09/10
제주 제주시,박앤박 혼밥대왕 제주시청점,07:00~17:00,"월급2,400,000",09/04
경기 하남시,박앤박 비돈이제돈이 하남점,10:00~22:00,"월급2,750,000",09/03
경기 하남시,박앤박 혼밥대왕 하남점,22:00~10:00,"월급2,750,000",09/03
대전 동구,박앤박 혼밥대왕 대전가양점,11:00~14:00,"시급8,720",08/29
경기 김포시,박앤박 혼밥대왕 김포마산점,10:00~21:30,"월급3,000,000",08/29
경기 하남시,박앤박 비돈이제돈이 하남점,10:00~22:00,"월급2,300,000",08/28
경기 하남시,박앤박 혼밥대왕 하남점,10:00~22:00,"월급2,300,000",08/28
